NOUN,VERB/PREP,NOUN
engineer,plans,construction
lake,produce,energy
construction,of,lake
canal,collects,coming
canal,convey,lake_it
coming,from,valley
an_artificial_lake_it,into,lake
cost,for,construction
construction,of,canal
engineer,realizes,capacity
lake,is,amount
lake,produce,amount
capacity,of,lake
amount,of,energy
lake_it,is,lake
lake_it,enlarge,lake
there,are,areas
areas,around,an_artificial_lake_it
engineer,elaborates,plan
lake,deepened,lake_it
lake_it,contains,amount
amount,of,water
laborers,have,hours
laborers,work,hours
hours,for,days
laborer,paid,8
8,for,hour
hour,of,work
plan,is,labor
labor,of,plan
plan,than,labor
labor,of,plan
