NOUN,VERB/PREP,NOUN
engineer,plans,construction
lake,produce,energy
construction,of,lake
canal,collects,coming
canal,convey,his_plan_it
coming,from,valley
his_first_plan_it,into,lake
engineer,realizes,periods
water,be,lake
water,feed,lake
cost,for,construction
construction,of,canal
engineer,during,periods
stream,of,water
engineer,elaborates,plan
lake,fed_by,canals
they,convey,water
canals,placed_around,lake
water,coming_from,belts
lake,fed_by,water
water,from,valleys
valleys,also,periods
laborers,have,hours
laborers,work,hours
hours,for,days
laborer,paid,8
8,for,hour
hour,of,work
plan,is,labor
labor,of,plan
plan,than,labor
labor,of,plan
