NOUN,VERB/PREP,NOUN
engineer,plans,construction
lake,produce,energy
construction,of,lake
canal,collects,coming
canal,conveys,his_plan_it
coming,from,valley
his_first_plan_it,into,lake
engineer,realizes,periods
engineer,damage,areas
canal,be,areas
water,flowing_along,canal
engineer,during,periods
stream,of,water
water,be,lake
water,feed,lake
An_engineer_He,during,periods
stream,of,water
engineer,elaborates,plan
canals,is,same
lake,fed_by,canals
same,as,canal
they,convey,water
canals,placed_around,lake
water,coming_from,valleys
water,flow_in,canal
amounts,of,water
canal,during,periods
lake,fed_by,water
water,from,valleys
valleys,also,periods
