NOUN,VERB/PREP,NOUN
water,pumping,station
Peshawar,adapted,facility
Peshawar,feed,facility
water,acts_as,coolant
station,in,hills
hills,above,Peshawar
facility,stand,pressure
water,pumping,station
pipe,leads_from,water
station,to,facility
facility,have,supply
power_facility_it,overheat,meltdown
a_nuclear_power_facility_it,into,meltdown
supply,at,volume
Experts,found,power_facility_it
power_facility_it,is,pipe
power_facility_it,build,pipe
pipe,carry,water
pipe,rupture,pressure
water,flowing,power_facility_it
water,with,materials
materials,to,pressure
pressure,of,water
water,through,a_nuclear_power_facility_it
suggestion,is,number
suggestion,build,number
pipes,have,pressure
number,of,pipes
