NOUN,VERB/PREP,NOUN
Osteopathy,thinks,doctor_he
doctor_he,found,pain
doctor_he,alleviate,chronic
doctor,of,Osteopathy
years,of,research
chronic,back,pain
doctor,theorizes,thrust
doctor,s,they
thrust,applied_to,section
section,of,region
region,of,person
doctor,found,velocity_it
velocity_it,test,theory
doctor_he,is,thrust
doctor_he,deliver,thrust
thrust,requires,strength
thrust,of,force
suggestion,is,doctor
suggestion,have,doctor
doctor,develop,machine
machine,is,thrust
machine,delivering,thrust
machine,of,thrust
