NOUN,VERB/PREP,NOUN
patient,has,tumour
doctor,faced_with,patient
tumour,in,stomach
intensity_tissue_ray_way_tumour_It,is,patient
tumour,destroyed,patient
intensity_tissue_ray_way_tumour_It,operate,patient
at_this_intensity_the_healthy_tissue_that_the_ray_passes_through_on_the_way_to_the_tumour_It,on,patient
X-rays,destroy,tumour
a_malignant_tumour_in_his_stomach_it,at,intensity
ray,passes_through,way
way,to,tumour
ray,is,tissue
tumour_his_stomach_it,affect,tumour
ray,to,tissue
intensity_tissue_ray_way_tumour_It,looked,patient
