NOUN,VERB/PREP,NOUN
Annual,Meeting,Case
corporation,trying,meeting
corporation,decide,meeting
corporation,hold,meeting
the_two_divisions_divisions,of,corporation
There,were,disagreements
There,beginning,conflict
There,create,conflict
disagreements,between,the_two_divisions_divisions
conflict,between,their_them
division,wanted,mountains
division,lodge_in,mountains
their_They,were,location
their_They,researched,possibility
their_They,reserve,location
",",go,city
division,on,hand
their_They,generated,materials
company,in,markets
materials,on,exposure
markets,in,preparation
exposure,of,company
divisions_divisions,considered,compromise
executives,involved,option
executives,made,option
compromise,holding,meetings
compromise,of,meetings
schedules,of,executives
There,added,pressure
leaders,hold,meeting
benefits,building,relationships
benefits,had,history
pressure,from,leaders
meeting,given,benefits
benefits,of,relationships
relationships,across,the_two_divisions_divisions
history,of,relations
meeting,was,relations
meeting,foster,relations
objective,of,meeting
relations,between,the_two_divisions_divisions
division,appointed,member
division,negotiate_with,member
member,of,division
division,concerning,location
member,of,division
location,of,meeting
planners,gained,trust
trust,in,other
division,desired,meeting
division,run,meeting
meeting,talk,issues
meeting,required,location
location,focusing_on,work
meeting,as,hand
hand,about,issues
location,to,work
work,at,hand
division,saw,meeting
opportunity,promote,image
meeting,as,opportunity
divisions_divisions,resolved,meeting
division_planners_they,agreed,lines
divisions_divisions,create,meeting
division_planners_they,maintain,lines
lines,of,communication
meeting,in,mountains
communication,between,the_two_divisions_divisions
