NOUN,VERB/PREP,NOUN
line,of,videogames
Sales_Vortex,produce,hardware
hardware,needed,forces_games_games
manufacturer,of,equipment
equipment,in,Europe
hardware,for,the_special_forces_games_games
They,share,revenues
They,negotiating_over,revenues
revenues,from,product
deal,going,Sales_Vortex
Sales_Vortex,wanted,market
Keppel,needed,boost
Sales_Vortex,broaden,market
Sales_sales,meet,expectations
boost,in,The_Videogame_Sales_Case_Vortex_sales
expectations,for,year
market,for,products
companies,split,revenues
companies,struggling_with,revenues
Keppel,demanding,percentage
Sales_sales,finance,expense
Sales_Vortex,s,forces_games_games
percentage,from,The_Videogame_Sales_Case_Vortex_sales
expense,of,control
Keppel,knew,expense_action_control_it
expense_action_control_it,had,resources
resources,get,s
the_special_forces_games_games,on,market
companies_they,had,patent
Keppel,was,one
Sales_Vortex,demanding,percentage
grounds,was,forces_games_games
grounds,sold,forces_games_games
patent,on,control
one,of,manufacturers
percentage,from,The_Videogame_Sales_Case_Vortex_sales
The_Videogame_Sales_Case_Vortex_sales,on,grounds
Sales_Vortex,needed,products
Keppel,needed,Sales_sales
Sales_Vortex,while,companies_they
Sales_Vortex,get,products
Keppel,increase,Sales_sales
companies_they,were,state
negotiations,at,standstill
standstill,for,companies
The_Videogame_Sales_Case_Vortex_sales,by,end
state,of,art
end,of,year
breakthrough,came,negotiators
Sales_Vortex,began,needs
Sales_Vortex,discussing,needs
needs,of,companies
teams,reached,agreement
Sales_Vortex,give,some
year,cover,s
year,aid,situation
some,of,share
share,of,revenue
revenue,for,remainder
remainder,of,year
Keppel,give,share
patent,on,device
revenue,in,years
share,of,revenue
years,for,products
