NOUN,VERB/PREP,NOUN
there,lived,genie
you_He,was,genie
He_he,polishing,home
He_he,was,bottle
genie,told,friend
wise_genie_I,going,home
wise_genie_I,look,home
home,in,.
wise_genie_you,help,me
wise_genie_they,began,bottle
wise_genie_they,searching,bottle
genie,found,home
home_It,was,bottle
the_perfect_home_It,away,bottle
genie,was,friend_his
genie,wanted,friend_his
genie,begin,friend_his
genie,moving,friend_his
friend_his,be,longings
genie,had,prob
you_He,had,home
jewels,in,home
you_He,had,jewels
you_He,somehow,jewels
you_He,dropping,jewel
jewels,from,bottle
bottle,without,jewel
bottle,to,bottle
genie,came,idea
genie,with,idea
you_He,began,staff
you_He,searching_for,staff
Unknown,stretch,bit_itself
a_bit_itself,from,home
home,to,home
genie,tugged,staff
He_he,pulled,bottle
genie,pulled_on,staff
staff,at,last
bottle,to,bottle
genie,began,jewels
genie,simply,wise_genie_them
genie,gathering,jewels
right,to,his_magical_staff_him
jewels,in,home
jewels,tucked,home
jewels,in,home
you_He,invited,home
you_He,come,home
you_He,admire,home
home,in,home
friend,said,What
friend,came_in,What
wise_genie_you,find,genie
genie,sitting_in,bottle
bottle,with,jewels
