NOUN,VERB/PREP,NOUN
there,lived,genie
them_He,was,genie
them_he,polishing,home
them_he,was,bottle
wise_genie_They,talked,day_it
day_it,been,magic
day_it,play,magic
friend,said,genie_friend_I
genie_friend_I,looking,home
genie,Let,'s
bottle,for,both
both,of,The_genie_and_his_friend_us
genie_his_friend_we,have,fun
genie_his_friend_we,live,fun
wise_genie_They,began,bottle
wise_genie_They,searching,bottle
wise_genie_They,searched,genie_his_friend_they
genie_his_friend_they,found,home
bottle,was,both
bottle,for,both
them_He,wanted,belongings
them_He,move,belongings
bottle,was,genie
genie,had,jewels
bottle_It,be,lot
bottle_It,move,home
home,was,old
lot,for,one
home,to,old
genie,had,problem
them_he,get,bottle
bottle,to,bottle
genie,came,idea
genie,with,idea
them_He,began,staff
them_He,searching,staff
both_of_them_He,for,staff
Unknown,stretch,bit_itself
a_bit_itself,from,home
home,to,home
genie,tugged,staff
them_he,pulled,bottle
genie,pulled_on,staff
staff,at,last
bottle,to,bottle
them_He,move,time
both_of_them_He,in,time
them_He,gathered,jewels
them_He,dropped,wise_genie_them
jewels,in,home
right,to,his_magical_staff_him
genie,said_to,friend
genie_his_friend_we,play,day
you,find,two
wise_genie_them,sitting,playing
"a_very_old_,_wise_,_and_rich_genie_them",in,playing
