NOUN,VERB/PREP,NOUN
there,lived,genie
He_He,was,genie
He_he,decided,He_he
He_he,polishing,home
He_he,like,home
He_he,was,bottle
He_he,find,home
He_he,began,bottle
He_he,searching,bottle
He_he,for,bottle
He_he,found,home
home_It,was,bottle
the_perfect_home_It,away,bottle
genie,was,belongings
genie,began,belongings
genie,moving,belongings
genie,had,problem
He_He,had,home
jewels,in,home
He_He,had,jewels
He_He,somehow,jewels
He_He,dropping,jewel
jewels,from,bottle
bottle,without,jewel
bottle,to,bottle
genie,came,idea
genie,with,idea
He_He,searched_for,carpet
He_he,commanded,one_it
one_it,roll,his_magic_carpet_itself
his_magic_carpet_itself,into,tube
carpet,place,end
one_it,formed,sort
sort,of,bridge
bridge,between,bottles
end,at,home
end,at,home
genie,very,jewel
genie,placed,one_it
one_it,into,opening
jewel,inside,home
opening,of,carpet
jewel,began,tube
jewel,tumbling,tube
one_it,reached,home
jewel,rolling_through,tube
genie,grinned,jewels
genie,began,jewels
genie,rolling,jewels
jewels,through,carpet
carpet,into,home
you,find,He_him
He_him,sitting_in,bottle
bottle,with,jewels
