NOUN,VERB/PREP,NOUN
there,lived,genie
He_He,was,genie
He_he,decided,He_he
He_he,polishing,home
He_he,like,home
He_he,was,bottle
He_he,find,home
He_he,began,bottle
He_he,searching,bottle
He_he,for,bottle
He_he,found,home
home_It,was,bottle
the_perfect_home_It,away,bottle
genie,was,belongings
genie,began,belongings
genie,moving,belongings
genie,had,problem
He_He,had,home
jewels,in,home
He_He,had,jewels
He_He,somehow,jewels
He_He,dropping,jewel
jewels,from,bottle
bottle,without,jewel
bottle,to,bottle
genie,came,idea
genie,with,idea
He_He,began,staff
He_He,searching_for,staff
Unknown,stretch,bit_itself
a_bit_itself,from,home
home,to,home
genie,tugged,staff
He_he,pulled,bottle
genie,pulled_on,staff
staff,at,last
bottle,to,bottle
genie,began,jewels
genie,simply,wise_genie_them
genie,gathering,jewels
right,to,his_magical_staff_him
jewels,in,home
jewels,tucked,home
jewels,in,home
you,find,his_staff_him
his_staff_him,sitting,bottle
his_magical_staff_him,in,bottle
bottle,with,jewels
