NOUN,VERB/PREP,NOUN
Woodstock_Woodstock,built,nest
nest,on,top
She,put,eggs
She,waiting,them
them,hatch,birds
eggs,in,Woodstock_it
Woodstock_it,for,Snoopy_and_Woodstock_them
Snoopy,was,this
nest,was_in,way
Snoopy,was,birds
them_they,make,noise
birds,arrived,them_they
noise,with,chirping
she_she,agreed,eggs
Woodstock_Woodstock,want,Snoopy
Woodstock_Woodstock,get,Snoopy
she_she,built,nest
nest,in,tree
there,was,prob
them_they,move,eggs
's,to,nest
nest,in,tree
Woodstock_Woodstock,were,eggs
eggs,broken,them_they
them_they,tried,them
them_they,carry,them
Snoopy_and_Woodstock_them,from,roof
roof,up,tree
Snoopy,had,idea
Snoopy,took,blanket
Snoopy,rolled,Woodstock_it
Woodstock_Woodstock,hovered_in,watching
Snoopy_he,tossed,Woodstock_it
Woodstock_it,hooked_on,branch
branch,of,tree
blanket,stretched,nest
blanket,to,nest
Snoopy,carefully,eggs
eggs,one,one
one,through,blan
ket,into,nest
nest,in,tree
Woodstock_Woodstock,liked,nest
Snoopy,was,rooftop
Snoopy,sleep,rooftop
