NOUN,VERB/PREP,NOUN
rabbi,reassured,chairman
Unknown,",",I
Ernie,really,interview
factory,in,town
interview,for,security
He,thought,he
Ernie,went,mall
Ernie,hunted,uniform
Ernie,bought,several
Ernie_was_really_encouraged_Ernie,to,mall
mall,for,uniform
he,received,call
call,from,director
director,about,position
Ernie,dismayed,he
he,wasted,money
He,have,job
Carl_Carl,working_at,time
He,was,he
he,had,left
left,in,account
he,had,lunch
president,becoming,broker
president,about,broker
lunch,with,president
Carl_Carl,thought,he
he,impressed,people
he,gave,his
his,resume,firm
Ernie_was_really_encouraged_his,to,firm
Carl_Carl,tried,suits
Carl_Carl,got,few
Carl_Carl,went_to,store
store,on,suits
He,felt,he
Ronnie_Ronnie,thought,Cindy_she
Cindy_she,had,I_it
I_it,made,Cindy_she
Cindy_she,thought,Cindy_she
Cindy_she,done,audition
Cindy_she,in,audition
audition,for,player
Ronnie_Ronnie,played,organs
Ronnie_Ronnie,purchased,one
Ronnie_Ronnie,went_to,store
Cindy_she,got,message
message,from,player
player,about,keyboards
Cindy_She,was,band
Cindy_She,in,band
Ronnie_Ronnie,depressed,Cindy_she
Cindy_she,run,card
Cindy_Cindy,was,Cindy_she
Cindy_she,blown,savings
Cindy_Cindy,was,tryout
tryout,as,dancer
Cindy_Cindy,about,tryout
dancer,for,musical
Cindy_she,met,director
director,about,position
Cindy_Cindy,got,stores
Cindy_Cindy,searched,leotards
Cindy_Cindy,bought,leotards
stores,for,leotards
Cindy_Cindy,to,stores
Cindy_She,believed,troubles
