NOUN,VERB/PREP,NOUN
Fallsburg,have,personalities
many,of,faculty
faculty,in,department
department,at,Fallsburg
this,led_to,clashes
clashes,among,faculty
this_It,is,meetings
meetings,shouting,matches
meetings,erupt_in,matches
this_It,for,meetings
matches,into,matches
arguments,is,faculty
arguments,go,offices
arguments,avoid,colleagues
arguments,running,colleagues
result,of,arguments
faculty,to,offices
offices,except,colleagues
colleagues,into,colleagues
faculty,are_in,offices
department,is,support
One,of,aspects
support,for,research
aspects,of,department
this,been,level
members,excel_at,research
result,of,this
level,of,motivation
motivation,for,members
members,in,department
hours,on,research
work,paid,department
department,is_among,10
10,of,departments
departments,in,reputation
