NOUN,VERB/PREP,NOUN
department,got,degrees
Many,of,faculty
degrees,in,1960s
faculty,in,department
era,left,mark
mark,on,faculty
faculty_department_They,are,proponents
students,speak,issues
proponents,of,causes
students,on,issues
faculty,called,Congress
faculty,testify_before,Congress
members,of,faculty
stance,as,activists
department,become,faces
members,of,department
faces,on,programs
reputations,as,teachers
faculty_department_they,are,beginner
faculty_department_they,enter,beginner
beginner,s,material
faculty,in,department
material,in,manner
faculty,look,members
faculty,developed,attitude
attitude,on,members
members,of,departments
department,resented_by,faculty
members,of,department
faculty,from,departments
