NOUN,VERB/PREP,NOUN
department,have,grants
grants,allow,them
them,conduct,research
faculty,in,department
department,has,money
research,than,department
money,for,pursuit
department,at,University
pursuit,of,research
funding,allowed,members
funding,hire,assistants
assistants,for,all
all,of,members
faculty,had,time
member,has,assistant
time,maintain,careers
careers,sacrificing,quality
careers,without,quality
quality,of,teaching
Fallsburg,is,one
department,at,Fallsburg
one,of,departments
departments,at,University
students,rated,faculty
department,as,teachers
faculty,in,department
teachers,on,campus
student,wants,course
student,take,course
teachers,spread_throughout,campus
reputation,as,teachers
course,during,studies
popularity,caused,most
most,of,courses
students_Students,wait,choice
students_Students,get,course
The_undergraduate_students_Students,over,choice
choice,into,course
course,of,choice
