NOUN,VERB/PREP,NOUN
Fallsburg,teaches,many
Fallsburg,also,biology_department_itself
biology_department_itself,maintaining,program
department,at,Fallsburg
The_biology_department_at_Fallsburg_itself,on,program
many,of,courses
courses,for,students
faculty,taken,advantage
program,offered,state
faculty,lured_to,school
number,of,faculty
advantage,of,program
school,with,offers
program,by,state
offers,of,salaries
departures,left,department
department,with,faculty
biology_department_it,been,courses_students_them
there,are,faculty
courses_students_them,carry,all
faculty,needed_in,department
all,of,work
There,are,biology
There,organize,meetings
There,advise,majors
majors,in,biology
meetings,for,business
department,got,degrees
Many,of,faculty
degrees,in,1960s
faculty,in,department
era,left,mark
mark,on,faculty
faculty_biology_department_They,are,proponents
students,speak,issues
proponents,of,causes
students,on,issues
faculty,called,Congress
faculty,testify_before,Congress
members,of,faculty
stance,as,activists
