NOUN,VERB/PREP,NOUN
Fallsburg,teaches,many
Fallsburg,also,biology_department_itself
biology_department_itself,maintaining,program
department,at,Fallsburg
The_biology_department_at_Fallsburg_itself,on,program
many,of,courses
courses,for,students
faculty,taken,advantage
program,offered,state
faculty,lured_to,school
number,of,faculty
advantage,of,program
school,with,offers
program,by,state
offers,of,salaries
departures,left,department
department,with,faculty
biology_department_it,been,courses_students_them
there,are,faculty
courses_students_them,carry,all
faculty,needed_in,department
all,of,work
There,are,biology
There,organize,meetings
There,advise,majors
majors,in,biology
meetings,for,business
students,rated,faculty
department,as,teachers
faculty,in,department
teachers,on,campus
student,wants,course
student,take,course
teachers,spread_throughout,campus
reputation,as,teachers
course,during,studies
popularity,caused,most
most,of,courses
students_Students,wait,choice
students_Students,get,course
The_undergraduate_students_Students,over,choice
choice,into,course
course,of,choice
