NOUN,VERB/PREP,NOUN
Fallsburg,is,one
department,at,Fallsburg
one,of,departments
departments,at,University
students,rated,faculty
department,as,teachers
faculty,in,department
teachers,on,campus
student,wants,course
student,take,course
teachers,spread_throughout,campus
reputation,as,teachers
course,during,studies
popularity,caused,most
most,of,courses
students_Students,wait,choice
students_Students,get,course
The_undergraduate_students_Students,over,choice
choice,into,course
course,of,choice
department,have,personalities
many,of,faculty
faculty,in,department
this,led_to,clashes
clashes,among,faculty
this_It,is,meetings
meetings,shouting,matches
meetings,erupt_in,matches
this_It,for,meetings
matches,into,matches
arguments,is,faculty
arguments,go,offices
arguments,avoid,colleagues
arguments,running,colleagues
result,of,arguments
faculty,to,offices
offices,except,colleagues
colleagues,into,colleagues
