NOUN,VERB/PREP,NOUN
department,has,mix
mix,of,faculty
half,of,professors
interest,in,role
ideology,in,government
role,of,Socialist
other,of,UNKNOWN
emergence,of,UNKNOWN
nations,in,UNKNOWN
most,of,professors
groups,gave,talks
talks,about,findings
conference,quite,story
meeting,appeared_in,Post
story,about,meeting
Science,are,researchers
them,have,grants
faculty,in,Science
all,of,them
grants,from,agencies
grants,provide,department
money,hire,personnel
department,with,money
department,been,assistants
department,hire,assistants
number,of,grants
assistants,for,member
