NOUN,VERB/PREP,NOUN
Gordmont,acknowledged,one
Gordmont,be,one
department,at,Gordmont
one,of,groups
groups,of,kind
kind,in,world
department,ranked,one
departments,in,terms
publications,by,faculty
one,among,departments
terms,of,number
number,of,publications
success,allowed,members
members,secure,number
members,provide,funds
professors,carry,research
members,of,research
number,of,contracts
funds,for,professors
department,outdone_by,reputations
reputation,of,department
reputations,of,faculty
all,of,professors
department,seem,respect
department,have,respect
members,of,department
respect,for,other
