NOUN,VERB/PREP,NOUN
way_It,was,s
mother,wanted,it_it
mother,make,it_it
day,for,Jane_her
Jane_she,organized,party
Jane_she,knowing,it_it
children,without,Jane_Jane
Jane_Jane,about,it_it
plan,was,mother
school,be,time
mother,picked,Jane_Jane
school,allow,time
time,arrive_before,Jane_Jane
Jane_Jane,after,school
Everything,was,it_it
it_it,was,minutes
Jane_Jane,s,mother
mother,putting,touches
touches,on,decorations
decorations,for,room
Jane_She,covering,ceiling
streamers,made_of,ribbons
ceiling,with,streamers
Jane_Jane,s,mother
mother,finishing,pattern
pieces,left,paneling
pieces,dangling_from,paneling
Jane_She,planned,pieces
Jane_She,knot,pieces
Jane_She,attach,balloons
pieces,of,ribbon
balloons,to,just_about_to_give_up_when_she_had_an_idea_them
Jane_she,was,ribbon
Jane_she,grabbed,end
Jane_she,grasp,ribbon
end,colored,Jane_she
end,of,ribbon
pink,at,time
Unknown,knotted,way
ribbons,in,way
way_It,seemed,Jane_she
Jane_she,have,bit
Jane_she,abandon,bit
bit,of,decoration
Jane_Jane,s,mother
mother,was,idea
mother,give,Jane_she
Jane_she,had,idea
Jane_She,took,pair
Jane_she,attached,scissors
Jane_she,using,paper
Jane_she,cut,paper
pair,of,scissors
scissors,to,end
end,of,ribbon
Jane_she,took,hold
Jane_she,swung,she_idea_them
Jane_she,pointing,she_idea_them
she_idea_them,swayed,ribbon
hold,of,scissors
just_about_to_give_up_when_she_had_an_idea_them,in,direction
direction,of,ribbon
ribbon,between,ribbon
Jane_She,walked,ribbon
Jane_She,ran,end
Jane_She,took,end
Jane_She,letting,go
ribbon,to,ribbon
end,of,ribbon
ribbon,without,go
go,of,ribbon
ribbon,came,way
ribbon,caught,it_it
it_it,on,upswing
Unknown,knotted,ribbons
scissors,from,ribbon
Jane_Jane,s,just
just,managed,balloons
just,completing,decorations
just,attach,balloons
balloons,on,ribbons
party,was,success
mothers,complemented,mother
mother,on,decorations
