NOUN,VERB/PREP,NOUN
man,found,cellar
man_he,sent,messengers
messengers,announce,offer
wine,given,brick
brick,of,gold
barrel,of,wine
offer,expire_at,sundown
merchants,heard,news
Each,had,cart
cart,loaded_with,barrels
barrels,of,wine
bridge,washed,river
Each_they,came_to,place
bridge,by,river
merchant,drove,cart
attempt,reach,side
cart,into,flood
flood,in,attempt
horses,already,current
horses,fight,current
cart,overturned,horses
merchant,tried,tactic
man_he,loaded,barrel
merchant_He,poured,wine
merchant_He,lashed,them
merchant_He,form,raft
The_second_merchant_himself,on,top
wine,of,all
all,but,one
one,of,barrels
merchant_He,set,adrift
raft,came,shore
raft,rest_on,shore
shore,in,front
front,of,town
merchant,disembarked,barrel
merchant,loaded,barrel
merchant,led,wine_barrel_it
barrel,on,horse
merchant_He,arrived,sun
merchant_He,collected,brick
sun,setting,brick
brick,as,reward
reward,for,efforts
