NOUN,VERB/PREP,NOUN
light,used_in,experiments
Laser,In,lab
lab,at,university
quantities,of,light
Ruth_Ruth,was,assistant
assistant,operating,bulb
assistant,for,bulb
fragile-glass_Laser_physics_lab_university_light_bulb_quantities_light_she,found,dismay
lab,to,dismay
fragile-glass_Laser_physics_lab_university_light_bulb_quantities_light_she,forgotten,morning_it
One_morning_it,off,night
bulb,overheated,filament
bulb,broken_into,parts
filament,inside,bulb
there,was,morning_it
bulb,completely,there
there,open,morning_it
Ruth_Ruth,knew,bulb
bulb,repaired,beam
beam,used,parts
beam,fuse,parts
filament,into,one
parts,of,filament
lab,had,job
lab,do,job
beam,break,glass
glass,surrounding,filament
laser,break,glass
neither,One_morning_it,filament
One_morning_it,fuse,filament
morning_it,seemed,bulb
bulb,repaired,replacement
Ruth_Ruth,give,fragile-glass_Laser_physics_lab_university_light_bulb_quantities_light_she
fragile-glass_Laser_physics_lab_university_light_bulb_quantities_light_She,administered,beams
lasers,in,circle
beams,from,directions
circle,around,bulb
effect,was,fuse
beams,on,filament
effect,to,fuse
glass,received,beam
spot,on,glass
beam,from,laser
Ruth_Ruth,relieved,bulb
bulb,repaired,fragile-glass_Laser_physics_lab_university_light_bulb_quantities_light_she
