NOUN,VERB/PREP,NOUN
light,used_in,experiments
Laser,In,lab
lab,at,university
quantities,of,light
Ruth_Ruth,was,assistant
assistant,operating,bulb
assistant,for,bulb
problem_insufficient-intensity_Laser_physics_lab_university_light_bulb_quantities_light_she,found,dismay
lab,to,dismay
problem_insufficient-intensity_Laser_physics_lab_university_light_bulb_quantities_light_she,forgotten,their_effect_it
their_combined_effect_it,off,night
bulb,overheated,filament
bulb,broken_into,parts
filament,inside,bulb
there,was,their_effect_it
bulb,completely,there
there,open,their_effect_it
Ruth_Ruth,knew,bulb
bulb,repaired,beam
beam,used,parts
beam,fuse,parts
filament,into,one
parts,of,filament
lab,had,job
lab,do,job
beams,were,fuse
beams,to,fuse
their_effect_it,seemed,bulb
bulb,repaired,replacement
Ruth_Ruth,give,problem_insufficient-intensity_Laser_physics_lab_university_light_bulb_quantities_light_she
problem_insufficient-intensity_Laser_physics_lab_university_light_bulb_quantities_light_She,administered,beams
lasers,in,circle
beams,from,directions
circle,around,bulb
effect,was,fuse
beams,on,filament
effect,to,fuse
Ruth_Ruth,relieved,bulb
bulb,repaired,problem_insufficient-intensity_Laser_physics_lab_university_light_bulb_quantities_light_she
