NOUN,VERB/PREP,NOUN
Unknown,used,experiments
bulb,emit,quantities
lab,at,university
Ultrasound,In,lab
light,in,experiments
quantities,of,light
Ruth_Ruth,was,assistant
assistant,operating,bulb
assistant,for,bulb
she_she,found,dismay
she_she,came_into,lab
lab,to,dismay
she_She,realized,she_she
she_she,tum,high-intensity_ultrasound_it
bulb,overheated,wires
wires,in,filament
filament,inside,bulb
bulb,completely,there
Ruth_Ruth,knew,bulb
bulb,repaired,wave
the,fused,parts_parts
wave,used_to,jar
lab,had,job
lab,do,job
wave,break,glass
glass,surrounding,filament
neither,would,jar
wave,break,glass
the,fused,parts_parts
bulb,repaired,replacement
Ruth_Ruth,about,she_she
Ruth_Ruth,give,she_she
she_she,had,idea
she_She,placed,machines
she_She,administered,waves
machines,in,circle
waves,from,directions
circle,around,bulb
effect,was,jar
the,fused,parts_parts
waves,on,filament
effect,to,jar
glass,received,wave
spot,on,glass
wave,from,machine
Ruth_Ruth,relieved,bulb
bulb,repaired,she_she
she_she,on,experiment
