NOUN,VERB/PREP,NOUN
bulb,emit,quantities
light,used_in,experiments
Ultrasound,In,lab
lab,at,university
quantities,of,light
Ruth_Ruth,was,assistant
assistant,operating,bulb
assistant,for,bulb
She_she,found,dismay
She_she,came_into,lab
lab,to,dismay
She_She,realized,She_she
She_she,forgotten,morning_it
She_she,tum,morning_it
One_morning_it,off,night
bulb,overheated,wires
wires,in,filament
filament,inside,bulb
there,was,morning_it
bulb,completely,there
there,open,morning_it
Ruth_Ruth,knew,bulb
bulb,repaired,wave
the,fused,parts_parts
wave,used_to,jar
lab,had,job
lab,do,job
waves,were,fuse
waves,to,fuse
She_She,needed,wave
morning_it,seemed,bulb
bulb,repaired,replacement
Ruth_Ruth,about,She_she
Ruth_Ruth,give,She_she
She_she,had,idea
She_She,placed,machines
She_She,administered,waves
machines,in,circle
waves,from,directions
circle,around,bulb
effect,was,jar
the,fused,parts_parts
waves,on,filament
effect,to,jar
Ruth_Ruth,relieved,bulb
bulb,repaired,She_she
She_she,on,experiment
