NOUN,VERB/PREP,NOUN
government,established,government
government,toppled_in,coup
military,imposed,law
military,abolished,liberties
forces,remained,government
forces,to,government
tank_corp_commander_his_forces_They,hid,forest
chance,launch,counterattack
forest,waiting_for,chance
A_tank_corp_commander_and_his_forces_They,in,forest
commander,felt,he
he,succeed,headquarters
island,situated,center
headquarters,located_on,island
island,in,center
center,of,lake
island,connected,way_island_it
island,was_by,way
way,of,bridges
The_only_way_to_reach_the_island_it,to,area
bridge,was,tanks
tanks,cross_at,once
force,repulsed_by,troops
commander,tried,tactic
bridge,leading_to,island
tanks,to,locations
number,of,tanks
locations,near,bridge
attack,launched,bridge
cover,of,darkness
attack,across,bridge
tanks,immediately,headquarters
tanks,arrived_on,island
All,of,groups
island,on,headquarters
groups,of,tanks
tank_corp_commander_his_forces_They,managed,headquarters
tank_corp_commander_his_forces_They,capture,headquarters
tank_corp_commander_his_forces_They,eventually,government
