NOUN,VERB/PREP,NOUN
country,ruled_from,fortress
fortress,by,dictator
middle,surrounded,villages
fortress,situated_in,middle
middle,of,country
country,by,villages
roads,led_to,fortress
fortress,through,countryside
general,vowed,fortress
general,capture,fortress
general,knew,attack
army,capture,fortress
attack,by,army
general_He,gathered,army
general_He,launch,attack
army,at,head
head,of,one
one,of,roads
dictator,planted,mines
mines,on,each
each,of,roads
mines,set,bodies
dictator,needed,workers
dictator,move,workers
men,pass_over,men_them
men_them,since,dictator
bodies,of,men
workers,to,fortress
force,detonate,mines
this,blow,road
this_it,destroy,villages
Unknown,capture,fortress
general,devised,plan
general_He,divided,army
general_He,dispatched,group
army,into,groups
group,to,head
head,of,road
general_he,gave,signal
all,was,general_he
group,marched,road
group,continued,road
army,arrived,fortress
road,to,fortress
army,at,fortress
fortress,at,time
general,captured,fortress
general,overthrew,dictator
